Date,HRS,IPG,TGT,RHT,AMG,LOW,ESS,EQT,APD,NEE,IBM,STX,COH,SPG,JEC,ROK,PCAR,CVX,GPC,MCD,PRU,HON,HAR,DIS,VTR,K,CSCO,PDCO,NFLX,UNH,MRK,EQIX,WM,NTAP,CF,ORCL,GIS,IRM,PEP,AMAT,REGN,STJ,BMY,CERN,DHI,WU,SE,FITB,PGR,C,FOXA,DUK,NI,SLG,STI,VIAB,TMK,NBL,JWN,CMI,CB,FTI,MCO,USB,PX,DTE,HUM,WMT,HCP,RHI,AAP,GD,DVA,XEL,ADBE,HRB,AET,BK,HRL,PNC,SWKS,OMC,EIX,SIG,AVY,PG,AME,BDX,TXT,GE,ABT,DD,MU,SCG,PPL,ETN,HP,AAPL,IP,BSX,USDOLLAR
2007-02-01,76865890,27191223,196990611,42214200,54566362,332373496,20416617,21824084,73021578,121214749,527077798,109346813,160288717,116584017,59738868,80346651,106365148,580935523,21922761,198062052,144349385,130689074,72657272,251571402,23344971,100440550,1254531545,36342796,25614436,226038102,243740780,29517860,86458871,140708837,29889040,456322867,65127042,10537148,215785341,326811652,7964083,150251317,396981363,40940620,184564902,203113847,42617430,86856741,73982911,922874742,96850293,172878282,9773580,94832744,119126160,58353987,27657690,91159846,103538622,168038311,123792380,32620876,71088876,366884824,75041278,33608645,146196566,507868762,30324933,30464433,42069060,101699326,35782791,24117187,180497568,16437550,86311878,139953265,6718275,65347831,26363716,76793966,47681796,440780,63386186,392822301,11064134,111755956,137860665,958000623,230261088,265344867,152600175,10859460,35664764,69881996,91131959,1831335789,110737500,264459740,
2007-02-02,46463764,24660341,167916559,46988424,21624180,151301208,13169213,14546267,56369964,67609047,531624859,159021758,142586642,75110927,38406080,45569295,128692251,388911229,16139301,153930221,127461058,99711705,64165606,240863777,26922392,80665235,1368698000,23961103,32186127,239295230,446169372,30665471,51295789,104169357,9432442,656070759,37469655,13182682,151725744,440823350,5420348,171057466,194482544,142117941,163881776,107504909,44334893,61643728,48616292,618476340,49040560,109894170,6939011,69825008,65143264,56418178,18133922,52653741,57555232,209200515,60132490,23641855,46232382,148587461,55472742,29758016,139984492,486974674,26128999,24098960,28889009,76369787,87344972,15998118,125588619,14126871,82289009,143861098,4816420,42849447,23992298,49772300,39816827,177172,22053184,308506886,12510900,72188020,111977212,635858681,186814087,187643526,249378052,10806648,47619466,54969328,71204718,1713521730,116108218,244119766,
2007-02-05,59362398,40816202,158916616,56248570,31690718,126487445,12213364,43786998,64230540,97245023,661678987,111639916,88692935,81881798,26430600,58506146,132880458,442924928,14709015,114699357,98540956,110064900,48998866,279270602,11755423,83029770,1426771481,13417433,17991860,308873878,338982634,20178633,83901817,129692573,10391738,447633876,45183603,6004133,178038258,391742791,20469974,151434460,163938589,45441648,91900588,77779760,48083821,52039260,48906046,816541747,138743388,133311802,4957987,71738509,46753097,78681594,18475028,58528243,82349749,97339891,53326434,29382220,36439790,150707775,51117480,31987634,186724966,553901940,27941097,21890641,19623974,77146613,57693452,24915430,121209008,15519554,189294423,175709280,6406681,51874784,18863091,63000730,45201515,118697,26949917,307103487,10962499,85513900,51375104,665417423,134658512,144022924,185886784,9780681,25963851,48379256,32272837,1580609605,76364799,149505328,
2007-02-06,65835074,89555007,161571014,60741497,20707457,113449246,20763646,18335301,55270168,118717290,523760457,87203178,81940620,166592257,62081774,64764607,115432708,437501545,18011773,131552855,117802933,127660788,66276402,245078127,28799909,80734751,2434923850,24147361,50396328,510065879,239548824,22607129,73596951,118935148,19217247,489453989,51830018,5202846,200250133,326168452,21745584,140960727,113726814,40562368,106398101,67544410,50521948,50750236,48531248,767550842,62268552,152081058,7190221,66933033,76248883,65348694,16942251,70384251,104950565,110597903,67385358,32720344,42623029,251063192,73976364,37649333,223811399,349643846,31271447,20252476,19581481,62499800,61226000,24687091,234186786,13535624,125873492,97825237,6515096,64610476,19402739,67511996,47606143,211845,24414102,398806467,13014895,83128624,149573469,576289162,137153824,173962623,164163972,6177057,26357911,54369174,31006810,2366211041,56477314,390573750,
2007-02-07,48559969,49035384,96436270,80538820,55714462,89307789,37949977,16793290,28844522,76464703,618993148,93861474,73958933,277277077,56276500,56603747,90549746,495125232,20605484,109990228,152623352,117231540,104963314,379984660,29393084,57096019,3062425146,28953170,36717859,241718991,259990548,32930476,67021647,146295832,10813520,699471811,75840672,3227004,209981177,252711960,10752709,117350017,200669424,33494832,80111557,77065908,31934562,56315473,39134963,592510122,86080068,105620324,5421886,102155640,52223568,81343529,17548725,66778524,60009592,85126368,57476357,31212398,102041229,175133622,49047490,14055549,215565900,393433696,34020465,20695554,21575557,39430605,35631252,28383408,160809880,16691332,221080894,102648602,6209794,45745850,23326233,94625096,37081835,143603,35862408,322008535,14710345,65578033,170768366,538717444,141303952,194566187,204408497,5714010,30173580,39932773,30300810,2989760234,116264652,331845080,
2007-02-08,31977757,25238623,146954802,64327720,31124821,155216201,28082828,23406304,32514572,107080186,495080702,51614766,128362514,226490134,30666933,59993302,129262997,533483494,14771201,195267188,376080988,106615757,78714554,644556192,28018241,61048314,1320210877,38272498,66302875,191846871,215559453,66188228,396030740,116327376,17438849,699812575,78033835,4191824,662745596,276749241,11866304,108816993,164033143,31020444,128564060,63805326,30528419,59981465,37826747,684952144,190184853,74023187,4156672,113037310,51209987,70211752,35349097,91939981,89789098,129111768,44663916,29184779,110581564,127515238,72698327,23373163,158774643,418688625,23351831,24460737,23807005,49096657,34899930,20620711,150872055,65400369,241016661,84314931,3508611,73104156,21378599,118722812,42431971,115398,34746254,276488416,11334777,97322796,84046410,840462203,192621093,152265166,100697400,9517123,43372788,55490444,34572903,1903635420,142759431,142725396,
2007-02-09,43639748,37577450,252899548,94615200,42451440,175782940,33808377,24880029,39619525,55262917,485639448,71122919,101561018,382042178,35135730,77988159,70771039,339450214,16933637,161255804,176277622,115025970,57291064,582472286,45728821,63936651,1188918820,60989623,25966395,205949756,163447060,49284885,174020199,88083840,31678800,632641341,46849959,5250402,350200467,473342444,8878896,101066625,132406591,288771080,93192210,57759778,49617845,96191695,22319172,923205110,157256886,57562040,4142061,188912023,69443931,71667876,45734385,90251077,83250405,111788962,50573445,29689881,93278005,127877472,114057632,37086696,84167478,477936039,54006154,15277910,21437715,68475686,25191808,18245127,166285608,57856952,141609781,128091517,6479415,74122478,20909908,101196491,55586893,525365,38548647,250453448,9196560,64912836,103201278,739527738,151433982,134879491,296206248,17408211,47720974,47416854,29853569,2331029899,71347131,103085739,
2007-02-12,38386762,47656943,149596446,90655956,40782702,135666050,24348424,19005635,49200259,40372445,424518393,34392528,105594375,222492414,39364952,90464191,93715736,642010068,13950187,184878569,109038302,105013304,46168481,538243615,30394141,88012710,917246921,18252019,23525522,205249826,263509010,24393965,90096662,91960228,37926856,486331935,38207480,5802275,238055992,396018387,11460658,116449209,352155203,51494085,112387065,42096181,46127579,77201384,26723223,735366550,186823874,63959074,8200842,118518774,68977712,76824599,32214977,73543505,92722763,75653444,51461828,50667130,122262102,118098896,53562049,34094145,120582488,396066251,41243139,21278989,48776670,90936505,59993340,11944520,257252242,34639358,92962193,137129742,7507257,58064508,14133020,104073461,34155094,185198,32240775,380561641,9178760,78812098,85561744,473087456,174405860,201479166,133785945,10344304,26761827,32496341,37378453,1999284956,69972442,142766232,
2007-02-13,28952256,160694702,116305053,75414171,45711540,124761534,59300740,23677581,52321630,48925415,452789650,80076938,183126209,224647146,27870668,69562290,59902665,410142700,18023883,167876469,103903642,137976197,52762097,396792442,25970035,69492176,1369335934,14768363,15839929,286184312,212973699,49938380,152672757,131543855,25483466,428856486,42182922,4305204,238795868,399904594,31255380,137770607,151613858,63203576,76435198,56019356,41362018,65735380,32184187,630230164,101883657,75536059,12598190,81827619,84457834,58676981,17005113,55537079,67704866,68620881,65667202,35076914,174038425,149547160,65254542,109619814,93859596,387961821,48411435,16447468,22249351,144952888,67600512,17152108,291287871,30099316,110424554,93787884,5549299,138591323,29046917,245381007,52327674,201279,19513939,423566029,5316470,53850218,67004045,573538179,156588365,182549083,134032833,9439154,21478384,32449051,27150084,1600799320,142923075,133782528,
2007-02-14,50513219,39406899,168407369,65476729,89657150,223093607,23852030,35222518,46080710,55063317,452334014,99442937,197908596,165157118,29575104,49933345,114320933,409394441,18304530,176565520,139483370,167087088,59418936,367182031,16339848,73768647,1133919107,14857051,116792280,241354521,196194330,98550025,97932424,218917562,24092949,648752342,57565911,8408423,328497977,930974889,18628866,76628210,93474999,31710049,72439744,65605325,36474088,68623675,47841280,689864559,131057705,142777268,8679100,84559392,76904351,79410535,11489828,130377235,113579647,233485810,40446464,85225404,101244540,193157997,73752504,52472312,133699945,471930427,33910368,13436623,44032489,69419454,95355510,22963157,386617600,44819905,142673617,138823133,9151637,93821144,32061112,274870748,52460356,106871,45731481,286627805,12564737,58787434,77826472,812552583,204951098,152872295,326164360,10478027,31713407,72319878,33459166,1409564087,92061485,73598565,
